Dealer ID,DealerName,Clean Name,Report,Address,City,Key,TotalUnitsPurchased,RequiredUnits,PrimaryUnits,Primary%,SecondaryUnits,Secondary%,QualifyingUnits,Qualifying%,Non-QualifyingUnits,Non-Qualifying%
1800885,Town & Country Tire Supply Inc,towncountrytiresupply,Course,201 Commercial,Atchison,towncoun201commeatchison,134,0,134,100,0,0,93,69.4,41,30.6
1797960,Tire World Auto Centers,tireworldautocenters,Course,5702 Industry lane A41,Frederick,tireworl5702indufrederic,100,0,100,100,0,0,72,72,28,28
1803140,CC Auto,ccauto,Course,1270 Louisville Rd,Harrodsburg,ccauto1270louiharrodsb,647,153,647,100,0,0,629,97.22,18,2.78
1804566,Whitley Automotive,whitleyautomotive,Course,210 Locust Ave,Locust,whitleya210locuslocust,310,0,310,100,0,0,257,82.9,53,17.1
1799328,Integrity Tire,integritytire,Course,11974 Willow Grove Road,Camden,integrit11974wilcamden,147,0,147,100,0,0,50,34.01,97,65.99
1811954,Fromm's Auto,frommsauto,Course,1915 Madison Ave,mankato,frommsau1915madimankato,525,75,525,100,0,0,470,89.52,55,10.48
1968854,Becker Tire,beckertire,Course,904 Washington,Great Bend,beckerti904washigreatben,2527,0,2527,100,0,0,1106,43.77,1421,56.23
1798276,International Tire Center,internationaltirecenter,Course,707 W. Baseline,san bernardino,internat707wbasesanberna,850,150,809,95.18,41,4.82,836,98.35,14,1.65
1810342,Gilbert Services,gilbertservices,Course,917 J Street,Auburn,gilberts917jstreauburn,272,0,270,99.26,2,0.74,225,82.72,47,17.28
1805053,flanigan tires inc,flanigantires,Course,130 w 6th st,michigan city,flanigan130w6thsmichigan,511,0,511,100,0,0,458,89.63,53,10.37
1805800,Red Stone Tire Inc,redstonetire,Course,114 Ashaway Rd,Westerly,redstone114ashawwesterly,419,181,419,100,0,0,268,63.96,151,36.04
1806328,safety auto center,safetyautocenter,Course,4722 palm beach blvd.,ft. myers,safetyau4722palmftmyers,227,0,227,100,0,0,217,95.59,10,4.41
1802594,Glory to God,glorytogod,Course,146 Lewis St,Hillsdale,glorytog146lewishillsdal,145,0,145,100,0,0,145,100,0,0
